word,freq,colour
dove,2,no
dozens,2,no
draw,2,no
drawing,2,no
dream,2,no
dropped,2,no
e,2,no
easter,2,no
effect,2,no
electircal,2,no
electrically,2,no
elencos,2,no
email,2,no
enormous,2,no
entrance,2,no
essentially,2,no
esteem,2,no
evenings,2,no
exception,2,no
exercise,2,no
expandable,2,no
expanded,2,no
expands,2,no
expecting,2,no
experimentation,2,no
experimented,2,no
explaination,2,no
explanatory,2,no
exposed,2,no
expressing,2,no
extensions,2,no
eye,2,no
feature,2,no
feedback,2,no
fight,2,no
figures,2,no
filled,2,no
finishing,2,no
force,2,no
former,2,no
freshman,2,no
gates,2,no
gathered,2,no
generation,2,no
girly,2,no
god,2,no
godson,2,no
gotta,2,no
gradually,2,no
grandmas,2,no
grasps,2,no
growth,2,no
guiding,2,no
handed,2,no
happened,2,no
hardly,2,no
heads,2,no
heavy,2,no
hesitation,2,no
hey,2,no
hints,2,no
holder,2,no
homework,2,no
hooking,2,no
hopes,2,no
household,2,no
hovering,2,no
hrs,2,no
hubby,2,no
husbands,2,no
identify,2,no
immersed,2,no
immersive,2,no
impact,2,no
importance,2,no
independant,2,no
indicated,2,no
individual,2,no
indoor,2,no
industrial,2,no
input,2,no
insert,2,no
insisted,2,no
intellectual,2,no
interact,2,no
interacting,2,no
interaction,2,no
intimidated,2,no
introduces,2,no
introductory,2,no
intuitively,2,no
invented,2,no
invited,2,no
inviting,2,no
involving,2,no
ipad,2,no
joined,2,no
jumping,2,no
kick,2,no
kiddos,2,no
kindergartener,2,no
labels,2,no
labled,2,no
lamp,2,no
largest,2,no
lasted,2,no
lasting,2,no
lasts,2,no
lately,2,no
latest,2,no
launched,2,no
launches,2,no
layer,2,no
leaning,2,no
learners,2,no
letter,2,no
library,2,no
lighting,2,no
likely,2,no
lil,2,no
live,2,no
living,2,no
longest,2,no
lotsa,2,no
m,2,no
magnetic,2,no
main,2,no
man,2,no
manipulating,2,no
marked,2,no
mean,2,no
meeting,2,no
members,2,no
message,2,no
mildly,2,no
miles,2,no
military,2,no
min,2,no
mix,2,no
mixing,2,no
modify,2,no
modular,2,no
moments,2,no
moves,2,no
mr,2,no
multitude,2,no
native,2,no
nature,2,no
navigate,2,no
necessarily,2,no
neighborhood,2,no
neither,2,no
newest,2,no
nonstop,2,no
normal,2,no
notice,2,no
novice,2,no
objectives,2,no
occasion,2,no
occasions,2,no
office,2,no
ohm,2,no
okay,2,no
operate,2,no
opportunities,2,no
orders,2,no
organize,2,no
organizer,2,no
originally,2,no
orriented,2,no
oustanding,2,no
outreach,2,no
overlooked,2,no
owned,2,no
paid,2,no
paint,2,no
paragraph,2,no
parties,2,no
path,2,no
paths,2,no
payoff,2,no
pcb,2,no
periods,2,no
personal,2,no
personality,2,no
personally,2,no
